docid,wordcount,f,ipm
"karetnikova.gost_iz_belogo_kamnya","27543",1, 0.01030
"gusev.skazka_dlya_zlodeev","32621",1, 0.01030
"gusev.ohota_na_inspektora","34115",1, 0.01030
"gusev.master_klass_po_nepriyatnostyam","32021",1, 0.01030
"gusev.kartina_s_klyaksoy","34569",1, 0.01030
"gusev.govoryaschiy_taynik","29787",1, 0.01030
"gusev.chasyi_s_lyagushkoy","32100",1, 0.01030
"gorkavy_nikolay.kosmicheskie_sytschiki","34794",1, 0.01030
"gabova.otpusti_menya","18945",1, 0.01030
"evdokimova.kimka_i_kompaniya","27034",1, 0.01030
"evdokimova.boruella","57822",1, 0.01030
"elchin_evgeniy.stalinskiy_nos","14568",1, 0.01030
"dyogteva.ryitsar_ryizhik","28590",1, 0.01030
"dyogteva.knopka_i_kapitan_ku_ku","26523",1, 0.01030
"dyachenko.priklyucheniya_mashi_mihaylovoy","11380",1, 0.01030
"drobina.podzemnoe_sozvezdie","39067",1, 0.01030
"drobina.klad_iz_sumochki","36468",1, 0.01030
"docuk.golos","33545",1, 0.01030
"degtyareva.stepnoy_veter","51224",1, 0.01030
"dashevskaya.villi","18996",1, 0.01030
"dashevskaya.okolo_muzyki","24213",1, 0.01030
"dashevskaya.den_chisla_pi","30723",1, 0.01030
"chepurina.svidanie_po_oshibke","25516",1, 0.01030
"boteva.morozhenoe_v_vafelnyh_stakanchikah","38755",1, 0.01030
"boldinova.po_nastoyashhemu","65607",1, 0.01030
"bogatyreva.den_materi","20366",1, 0.01030
"bogatyireva.formula_svobodyi.zhurnalnyiy_variant","43707",1, 0.01030
"blagov.sezon_nesbyvshihsya_zhelaniy","59044",1, 0.01030
"billevich_viktor.skazka_o_pohitshennoi_princesse","16926",1, 0.01030
"billevich_viktor.odnazhdy_v_skazochnoi_strane","12772",1, 0.01030
"bershadskaya.bolshaya_malenkaya_devochka_9_pro_lyubov","8277",1, 0.01030
"bershadskaya.bolshaya_malenkaya_devochka_8_delo_o_kletchatoy_sumke","7895",1, 0.01030
"bershadskaya.bolshaya_malenkaya_devochka_6_tykvando","6367",1, 0.01030
"bershadskaya.bolshaya_malenkaya_devochka_4_sem_s_polovinoy_krokodilskikh_ulybok","5965",1, 0.01030
"bershadskaya.bolshaya_malenkaya_devochka_1_kak_priruchit_gorod","2659",1, 0.01030
"bershadskaya.bolshaya_malenkaya_devochka_11_dzhinsy_v_goroshek","8751",1, 0.01030
"bershadskaya.bolshaya_malenkaya_devochka_10_pushkin_i_kompaniya","7237",1, 0.01030
"mogilevskaya_sofia.gori_nash_koster","27066",1, 0.01030
"mogilevskaia_sofia.skazka_o_gromkom_barabane","1375",1, 0.01030
"kotovschikova.v_bolshoj_semje","33196",1, 0.01030
"solovyev.perehod","43781",1, 0.01030
"mikhasenko.5chetvert","43545",1, 0.01030
"metter.serditiy_brigadir","32236",1, 0.01030
"medvedev_valeri.vovka_vesnushkin_v_strane_zavodnyh_chelovechkov","8861",1, 0.01030
"medvedev_valeri.barankin_bud_chelovekom","27521",1, 0.01030
"martynov.zvezdoplavateli","175937",1, 0.01030
"loiko.asya_nahodit_semyu","57413",1, 0.01030
"pocheptsov_georgi.gorod_fei","8779",1, 0.01030
"likhanov.teply_dozhd","18373",1, 0.01030
"sergienko.kees_admiral_tyulpanov","67297",1, 0.01030
"krapivin_vladislav.ta_storona_gde_veter","58168",1, 0.01030
"vilmont.sekret_zelyonoy_obezyanki","40841",1, 0.01030
"kozlov.valerka_predsedatel","20012",1, 0.01030
"kozlov.na_staroi_melnice","30753",1, 0.01030
"ronshin.ruki_vverh_sinyaya_boroda","30614",1, 0.01030
"kozlov.jurka_gus","66147",1, 0.01030
"zarechnaya_s.kazachok_grafa_Morkova","10339",1, 0.01030
"vlodavets.v_strane_monstrov","39684",1, 0.01030
"kotovshchikova.odin_dien","4613",1, 0.01030
"neverov.bolsheviki","1898",1, 0.01030
"kotovshchikova.gory_i_etazhi","7652",1, 0.01030
"baruzdin.novye_dvoriki","9441",1, 0.01030
"korshunov.kogda_zamerzli_dochdi","1493",1, 0.01030
"georgievskaya.serebryanoe_slovo_tarasik","96269",1, 0.01030
"korostylev.vovka_v_trideviatom_tsarstve","10459",1, 0.01030
"kazantsev.zvezdnyye_prisheltsy","8702",1, 0.01030
"paustovskiy.zayachi_lapy","1348",1, 0.01030
"likhanov.krutye_gory","13907",1, 0.01030
"magalif_juri.tiptik_ili_prikluchenia_odnogo_malchika","14534",1, 0.01030
"emets.chiernaia_chiernaia_prostynia","46281",1, 0.01030
"kolotukhin.nash_dom_stoit_u_moria","47029",1, 0.01030
"platonov.sarbaj","261",1, 0.01030
"konovalov.vchera","41403",1, 0.01030
"morozov.marat_kazej","2415",1, 0.01030
"aleshkovskij.kysh_dvaportfelja_i_celaja_nedelja","37430",1, 0.01030
"bulychev.jeto_vam_ne_jablochnyj_kompot","2460",1, 0.01030
"trushkin.koshki_myishki_s_mafiey","35598",1, 0.01030
"prishvin.seraya_sova","52693",1, 0.01030
"emets.grob_na_kolyosikah","35871",1, 0.01030
"kiselev.devochka_i_pticelet","60438",1, 0.01030
"krapivin_vladislav.tridtsat_tri_nos_utri","66012",1, 0.01030
"verkin.vor_zheleznaya_chelyust","30549",1, 0.01030
"kataev_valentin.dorogoy_milyi_dedushka","2021",1, 0.01030
"vasilenko.udivitelnye_prikluchenia_karandasha_i_neznaiki","1178",1, 0.01030
"kamennaia_galina.prikluchenia_staroi_kukly","1696",1, 0.01030
"kamanin.moi_tovarish","51027",1, 0.01030
"averin.tetrad_opasnyih_sekretov","36519",1, 0.01030
"iudin_pavel.volshebnik","2980",1, 0.01030
"yakovlev.neposlushnyy_malchik_ikar","7624",1, 0.01030
"hazanovich.svoe_imya","95888",1, 0.01030
"gurevich.vosminulevyye","7038",1, 0.01030
"gurevich.plenniki_asteroida","15818",1, 0.01030
"gor.olga_nsu","4636",1, 0.01030
"gurevich.my_s_perednego_kraya","11593",1, 0.01030
"bogomolov.moment_istiny","114375",1, 0.01030
"gurevich.aast_llun_arkhitektor_neba","7142",1, 0.01030
"akulshin.hyrmon","5039",1, 0.01030
"filimonov.ledyanaya_lovushka","37077",1, 0.01030
"grigoryev.svoi_dorogi_k_solntsu","1774",1, 0.01030
"golubeva.malchik_iz_urzhuma","48794",1, 0.01030
"goliavkin.ty_prikhodi_k_nam_prikhodi","14050",1, 0.01030
"ventsel.belochka_chok_chok","977",1, 0.01030
"lavrova_svetlana.koty_prizraki_i_odna_babuchka","27105",1, 0.01030
"krapivin_vladislav.ten_karavelly","43891",1, 0.01030
"gaydar.chuk_i_gek","7669",1, 0.01030
"goliavkin.moi_dobryi_papa","15740",1, 0.01030
"geraskina_lia.v_strane_nevyuchennyh_urokov","18411",1, 0.01030
"vorobey.davay_uydem_vmeste","21038",1, 0.01030
"gansovskii.stalnaia_zmieia","6265",1, 0.01030
"gansovskii.novaia_sighnalnaia","8803",1, 0.01030
"billevitch_viktor.v_strane_pereputannyh_skazok","19636",1, 0.01030
"nikolskaya.apokalipsis_antona_perchika","33955",1, 0.01030
"gurevich.na_prozrachnoi_planete","12936",1, 0.01030
"gansovskii.mladshii_brat_chielovieka","4840",1, 0.01030
"bessonova_alena.nu_dela_ili_chto_sluchilos_na_rychem_bolote","7111",1, 0.01030
"prishvin.orel","912",1, 0.01030
"dmitriev_iuri.gorod_jeltyh_trub","13935",1, 0.01030
"pogodin_radiy.knizhka_pro_grishku","23255",1, 0.01030
"dik.devchonki_i_malchishki","47888",1, 0.01030
"sytin.pokoriteli_vechnykh_bur","32279",1, 0.01030
"davydychev.ljolishna_iz_tretego_podezda","36777",1, 0.01030
"gusev.tusovka_na_ostrove_skeleta","30093",1, 0.01030
"chaplina_valentina.udivitelnoe_proisshestvie","25635",1, 0.01030
"ivanov_ustinova.zagadka_gazetnogo_obyavleniya","37650",1, 0.01030
"likhanov.borya_tsarikov","4362",1, 0.01030
"kotovshchikova.kutierma","24745",1, 0.01030
"permyak.staraia_vedma","50766",1, 0.01030
"nesterina.sklad_syedobnyih_ulik","34766",1, 0.01030
"bilenkin.marsianskii_priboi","57755",1, 0.01030
"danilova.gde_nochuyut_zebryi","35061",1, 0.01030
"bilenkin.gost_iz_vremeni","1491",1, 0.01030
"belahova.na_more","2336",1, 0.01030
"panteleev.na_yalike","3739",1, 0.01030
"lubenets.esli_vlyubishsya_molchi","31179",1, 0.01030
"belahova.doch","22391",1, 0.01030
"baruzdin.trinadtsat_let","5494",1, 0.01030
"banykin.bedovyi_malchishka","94533",1, 0.01030
"korzhikov.solnyshkin_plyvjot_v_antarktidu","39495",1, 0.01030
"salnikov.6klassniki","64872",1, 0.01030
"zhuravleva.orlenok","3525",1, 0.01030
"balter_boris.do_svidaniya_malchiki","63638",1, 0.01030
"zhuravleva.kapitan_zvezdoleta","86426",1, 0.01030
"graubin.polustanok","40933",1, 0.01030
"atarov.pogremushka","7394",1, 0.01030
"bianki.nebesnyy_slon","966",1, 0.01030
"nesterina.tanets_s_rusalkoy","21888",1, 0.01030
"vereyskaya.dzhiahon_fionaf","2542",1, 0.01030
"ivanov_ustinova.zagadka_krasnyih_granatov","33547",1, 0.01030
"aleksin.a_tem_vremenem_gde_to","11866",1, 0.01030
"zobnin.nerazluchnye_druzya","9598",1, 0.01030
"dlugolenskij.dva_odinakovykh_velosipeda","1365",1, 0.01030
"astafiev.vasutkino_ozero","7144",1, 0.01030
"kassil.gubernatorskiy_passazhir","5463",1, 0.01030
"vorobev.chestnoe_pionerskoe","4099",1, 0.01030
"vereyskaya.tri_portreta","4014",1, 0.01030
"georgievskaia.babushkino","19923",1, 0.01030
"voronkova.chernaya_smorodina","999",1, 0.01030
"vereyskaya.kirosenka","6728",1, 0.01030
"bremener.prisutstvie_duha","56244",1, 0.01030
"neverov.kak_u_nas_vojna_byla","1504",1, 0.01030
"vasilenko_ivan.zakoldovanyj_spektakl","20705",1, 0.01030
