docid,wordcount,f,ipm
"platonov.ohotnik_uldybaj","440",1, 0.01030
"aleksin_anatoliy.dima_tima","5931",1, 0.01030
"platonov.na_goryn_reke","2403",1, 0.01030
"fadeev.molodaya_gvardiya","163824",1, 0.01030
"zhitkov.kak_slon_spas_hozjaina_ot_tigra","253",1, 0.01030
"vilmont.pohischenie","33097",1, 0.01030
"platonov.mudry_starik","656",1, 0.01030
"kotovshchikova.nitka_korallov","2507",1, 0.01030
"vinokurov.troe_otvazhnykh","9325",1, 0.01030
"platonov.molodoj_ohotnik","639",1, 0.01030
"valevskiy.zeleniy_ostrov","42039",1, 0.01030
"kuznetsova_n.delo_o_falshivoy_kartine","43057",1, 0.01030
"prishvin.verhoplavki","253",1, 0.01030
"tushkan.djura","164179",1, 0.01030
"bogdanov_nikolay.kogda_ya_byl_vozhatym","43325",1, 0.01030
"ivanov_ustinova.proklyatie_staryih_mogil","35470",1, 0.01030
"vasilev.alye_pilotki","15474",1, 0.01030
"gromova.saharnyj_rebenok","36784",1, 0.01030
"gusev.kollektsiya_v_begah","30879",1, 0.01030
"vilmont.sekret_pustoy_kvartiryi","46989",1, 0.01030
"platonov.abzalil","579",1, 0.01030
"perfilieva.daleko_li_do_saigatki","49021",1, 0.01030
"paustovskii.kot_voruga","1846",1, 0.01030
"krasovskaia_galina.serebrianoe_derevo","47231",1, 0.01030
"rybakov_anatoliy.kortik","50492",1, 0.01030
"panteleev.pervy_podvig","4873",1, 0.01030
"servinskij.nasi_i_caban","2732",1, 0.01030
"gorkavy_nikolay.kolumby_vselennoy","74161",1, 0.01030
"ronshin.tayna_zefira_v_shokolade","27511",1, 0.01030
"panteleev.nochka","5557",1, 0.01030
"koryakov.tropoy_smelyh","48667",1, 0.01030
"oseeva_valentina.volshebnoe_slovo","579",1, 0.01030
"ivanov_ustinova.zagadka_pochtovogo_golubya","38588",1, 0.01030
"oseeva.vasek_2","69710",1, 0.01030
"kazantsev.planeta_bur","36014",1, 0.01030
"oseeva.vasek_1","47108",1, 0.01030
"okhotnikov_vadim.v_mire_iskanii","63670",1, 0.01030
"nosov.druzhok","3428",1, 0.01030
"usacheva.noch_otkryityih_dverey","32382",1, 0.01030
"nikulin.zhizn_vperedi","47615",1, 0.01030
"lukin.sudba_otkrytiya","138332",1, 0.01030
"atarov.povest_o_pervoi_lubvi","62275",1, 0.01030
"nemtsov.shestoye_chuvstvo","2398",1, 0.01030
"palei_abram.ostrov_tausena","43656",1, 0.01030
"ronshin.otday_svoe_serdtse","33506",1, 0.01030
"musatov.stozhary","53190",1, 0.01030
"rogi.na_dvore","5366",1, 0.01030
"kataev.ya_syn_trudovogo_naroda","29695",1, 0.01030
"artamonova.tsarstvo_ozhivshey_mumii","38246",1, 0.01030
"krapivin_vladislav.deti_sinego_flamingo","42992",1, 0.01030
"nabatov.zina_portnova","2839",1, 0.01030
"vlasov.tretia_tropa","53735",1, 0.01030
"polevoy.povest_o_nastoyashem_cheloveke","88652",1, 0.01030
"likstanov.prickluchenia_yungi","52680",1, 0.01030
"likstanov.malyshok","68918",1, 0.01030
"subin.akunko","2809",1, 0.01030
"kuznetsova.chertova_duzhina","43565",1, 0.01030
"kunin.za_tri_morya","35259",1, 0.01030
"gubarev.korolevstvo_krivyh_zerkal","19063",1, 0.01030
"koshevaya.povest_o_syne","40201",1, 0.01030
"kononov.u_zheleznogo_rucja","187375",1, 0.01030
"suvorov.na_zavolzhskich_ozjorach","27157",1, 0.01030
"kuznetsova_n.delo_o_podkolodnoy_zmee","32462",1, 0.01030
"komarovskii.tvoi_rovesniki","32886",1, 0.01030
"sergienko.uvezi_nas_pegas","50107",1, 0.01030
"kokovin.detstvo_v_solombale","26384",1, 0.01030
"krapivin_vladislav.zvezdy_pod_dojdem","8987",1, 0.01030
"bogdanov_nikolay.partiya_svobodnyh_rebyat","46576",1, 0.01030
"kataev_valentin.syn_polka","43855",1, 0.01030
"postnikov.vesyolyy_dvoechnik","18981",1, 0.01030
"vorobey.krasivaya_chizn","20660",1, 0.01030
"zhitkov_b.pod_vodoy","1949",1, 0.01030
"mamin_sibirak.ne_moe_delo","1230",1, 0.01030
"kassil_lev.velikoe_protivostoyanie","92922",1, 0.01030
"durov.bez_shtanov","386",1, 0.01030
"andrianova.smert_n1_leny_n","2621",1, 0.01030
"artamonova.uzoryi_iz_bisera_koshmarov","28080",1, 0.01030
"kassil.ulitsa","150188",1, 0.01030
"emets.yunyiy_graf_drakula","32015",1, 0.01030
"karnaukhova.povest_o_druzhnykh","57387",1, 0.01030
"kolpakova.polynnaya_yolka","14807",1, 0.01030
"kapitsa.v_otkrytom_more","46391",1, 0.01030
"iliina.chetvertaya_vysota","63264",1, 0.01030
"grigorev.radio_na_mare_sale","8691",1, 0.01030
"polikarpova.dve_berezy_na_holme","71158",1, 0.01030
"grossman.zhizn","7806",1, 0.01030
"grachev.tayna_krasnogo_ozera","74244",1, 0.01030
"karaseva.kiriushka","8604",1, 0.01030
"gerasimov.rasskaz_geroya","22279",1, 0.01030
"belahova.syn","30605",1, 0.01030
"miheeva.kogda_my_ostaemsya_odni","41825",1, 0.01030
"shcheglov.vedro_almazov","41432",1, 0.01030
"glebova.krasnyj_i_belyj_jummy_higgins","86456",1, 0.01030
"prishvin.kunitsa_medovka","331",1, 0.01030
"arkadiev.novogodnee_puteshestvie","544",1, 0.01030
"bartenev_usachev.barabashka_ili_obetshano_bolshoe_voznagrazhdenie","22339",1, 0.01030
"babkin.posoh_staroj_vedmy","48820",1, 0.01030
"kuznecova.pervaya_rabota","51047",1, 0.01030
"gaidar.goryachiy_kamen","1183",1, 0.01030
"ivanov_ustinova.koshmaryi_serebryanyih_prudov","36488",1, 0.01030
"fraerman.dalneye_plavanie","42017",1, 0.01030
"boronina.udivitelny_zaklad","17168",1, 0.01030
"kvin.malchishechi_tainy","29712",1, 0.01030
"kryukova.kostya_plyus_nika","45443",1, 0.01030
"aleksin_anatoli.v_strane_vechnyh_kanikul","25082",1, 0.01030
"boronina.tainstvennyj_podarok","14990",1, 0.01030
"chumakov.vasya_shishkovsky","3618",1, 0.01030
"gaidar.timur","17202",1, 0.01030
"boronina.ognam-ramat","11368",1, 0.01030
"romanovskaya.slepaya_kuricza","32780",1, 0.01030
"bobrov_sergei.volshebnyi_dvurog","133265",1, 0.01030
"drujkov_iuri.prikliuchenia_karandasha_i_samodelkina","22168",1, 0.01030
"bianki.terentij_teterev","392",1, 0.01030
"bazhov.tautkino_zerkalce","3561",1, 0.01030
"prishvin_mihail.kladovaia_solntsa","13993",1, 0.01030
"bazhov.ognevuska_poskakuska","2633",1, 0.01030
"belyaev.chelovek_poteryavshy_litso","22331",1, 0.01030
"gaidar.shkola","53266",1, 0.01030
"platonov.neizvestny_tsvetok","1116",1, 0.01030
"tronina.koroleva_tsvetov","32419",1, 0.01030
"rudashevskiy.solongo_tayna_propavshey_ekspedicii","85775",1, 0.01030
"krapivin_vladislav.troye_s_ploshchadi_karronad","55481",1, 0.01030
"ermolinski_sergei.stepa_kapitan","4746",1, 0.01030
"bazhov.hrupkaa_vetocka","2565",1, 0.01030
"platonov.esche_mama","1833",1, 0.01030
"salomatov_andrey.taina_zelenoy_planety","47697",1, 0.01030
"usacheva.zvonok_ot_pikovoy_damyi","36219",1, 0.01030
"bazhov.golubaa_zmejka","3231",1, 0.01030
"bazhov.ermakovy_lebedi","5985",1, 0.01030
"bulychev.alisa_i_drakon","8104",1, 0.01030
"solovovo.u_dyadi_vasi","1903",1, 0.01030
"vishnev.yungi","24877",1, 0.01030
"zolotovskii.podvodnye_mastera","42229",1, 0.01030
"zhitkov.volk","220",1, 0.01030
"prishvin.dergach_i_perepelka","243",1, 0.01030
"zhuravleva.uraniya","4094",1, 0.01030
"liashenko.chelovek_luch","72935",1, 0.01030
"zhitkov.kak_ja_lovil_chelovechkov","1677",1, 0.01030
"pavlova-silvanskaya.koshka","474",1, 0.01030
"svirskiy.razumka","3033",1, 0.01030
"panteleev.respublika-shkid","6734",1, 0.01030
"amatuni_petroni_gai.chao.skazka-shutka","21099",1, 0.01030
"anoshkin.semkina_nahodka","6587",1, 0.01030
"vugov.propala_koshka","766",1, 0.01030
"larri.zapiski_shkolnicy","78530",1, 0.01030
"neverov.kak_zhili_kukly","2745",1, 0.01030
"vilke.gribnoy_dozhd_dlya_geroya","34936",1, 0.01030
"kurguzov_oleg.rasskazy_malenkogo_malchika","11818",1, 0.01030
"gusev.agentyi_shkolnoy_bezopasnosti","31001",1, 0.01030
"verkin.gonki_na_pchele_ubiytse_kak_pochinit_mototsikl","27983",1, 0.01030
"karnauhova.nashi_sobstvennye","36088",1, 0.01030
"pimenova.geroi_uznogo_polusa","24951",1, 0.01030
"sokolov-mikitov.zolotaya_osen","612",1, 0.01030
"bianki.myshonok_pik","5773",1, 0.01030
"kaverin.unost_tani","214232",1, 0.01030
"prishvin.solovey_topograf","720",1, 0.01030
"gusev.professor_bez_shtanov","37275",1, 0.01030
"tayc.signalist","4913",1, 0.01030
"gumilevskiy.plen","32398",1, 0.01030
"ershov_yakov.vitya_korobkov","71542",1, 0.01030
"minaev.obida","382",1, 0.01030
"krapivin_vladislav.oranzhevyy_portret_s_krapinkami","39515",1, 0.01030
"neverov.artisty","2337",1, 0.01030
"prokofieva_sofia.kogda_mojno_plakat","124",1, 0.01030
"sholohov.nahalenok","6902",1, 0.01030
"lavrova.kiska_s_bantikom_v_ghoroshiek","4666",1, 0.01030
"bianki.hitryj_lis_i_umnaja_utochka","274",1, 0.01030
"novikov.priboy_geroicheskiy_korabl","4062",1, 0.01030
"platonov.zhadny_bogach","532",1, 0.01030
"nevtonova.strashnaya_ohota","1548",1, 0.01030
"selin.morskaya_amazonka","36114",1, 0.01030
"gershenzon.skazka_o_zheleznom_Velikane","2151",1, 0.01030
"paustovsky.dalekie_gody","74796",1, 0.01030
"gorev.ilyin_den","11348",1, 0.01030
"larri_yan.o_malenkih_ludyah","13407",1, 0.01030
"murashev.dedushka","1159",1, 0.01030
"landskaya.Tanushka","10356",1, 0.01030
"dubyanskaya.razgovor_po_dusham","11165",1, 0.01030
"urlanis.tolya_shumov","2648",1, 0.01030
"kuznetsova_m.grinka_i_granka","12801",1, 0.01030
"bazhov.pro_velikogo_poloza","1990",1, 0.01030
"belyayev.nebesnyi_gost","19194",1, 0.01030
"sergeev.volshebnaia_galosha","21470",1, 0.01030
"kozhevnikov.ptichka_schaste","8687",1, 0.01030
"beletskiy.zhenschina_s_loshadinoy_golovoy","41453",1, 0.01030
"prishvin.bars","477",1, 0.01030
"turhanov.grustnyiy_gnom_vesyolyiy_gnom","32969",1, 0.01030
"bulychev.sapfirovyj_venec","9053",1, 0.01030
"gumilevskij.myzhicky_syn","7964",1, 0.01030
"kotovshchikova.sto_protsientov","3169",1, 0.01030
"kozhevnikov.malchik_s_okrainy","23472",1, 0.01030
"sukhachev.deti_blokady","46311",1, 0.01030
"goliavkin.karusel","10029",1, 0.01030
"minaev.raschetnaya_knizhka","1622",1, 0.01030
"pimenova.na_kraiu","11655",1, 0.01030
"emec.robot_syshhik","47261",1, 0.01030
"titarenko_evgeniy.otrkytiya_voyny_stranstviya","69522",1, 0.01030
"aleksin_anatoliy.v_tylu_kak_v_tylu","11102",1, 0.01030
"lesinskij.dedushka_trud","1801",1, 0.01030
"oreshin.chelovek_na_ldine","3433",1, 0.01030
"hatunskij.na_zarabotok","15091",1, 0.01030
"emden.shkolniy_god_marini_petrovoi","58271",1, 0.01030
"solovovo.pro_soma_usatogo","2817",1, 0.01030
"voronkova.solnechniy_denek","5724",1, 0.01030
"mendelson.volk_sobaka_kot_i_mysh","290",1, 0.01030
"kiselyov.kulisyi_ili_postoronnim_vhod_razreshyon","17993",1, 0.01030
"panova_ludmila.po_tu_storonu","11772",1, 0.01030
"gryaznov.robinzon_v_ogorode_buduschego","3966",1, 0.01030
"pecherskii.masshtabnye_rebiata","29966",1, 0.01030
"kuznetsova_n.delo_o_chyornyih_arheologah","34925",1, 0.01030
"suslin.shifr_dlya_lunnogo_sveta","26417",1, 0.01030
"adamov.izgnanie_vladyki","120934",1, 0.01030
"pokrovskij.rannej_vesnoj","5635",1, 0.01030
"ryazanova.na_poroge_unosti","37543",1, 0.01030
"krasavitskaia_maria.saniny_skazki","4136",1, 0.01030
"gorev.agronom_priehal","6756",1, 0.01030
"ivanov.bronepoezd","16568",1, 0.01030
"perventsev.volodka_partizansky_syn","4757",1, 0.01030
"nekrasov.blin_ohotnik_za_vorami","42254",1, 0.01030
"korshunov.shk_vselennaja","17878",1, 0.01030
"uspenskiy.25_professiy_mashi_filipenko","39330",1, 0.01030
"martynov.kallisto._kallistyane","129719",1, 0.01030
"rain.ostrov_bez_palm","37352",1, 0.01030
"amraeva.germaniya","16854",1, 0.01030
"veltistov.elektronik__malchik_iz_chemodana","35994",1, 0.01030
"venkstern.gibel_zhannetty","8140",1, 0.01030
"prishvin.vyskochka","575",1, 0.01030
"prishvin.limon","1088",1, 0.01030
"meksin.kot_i_lisa","849",1, 0.01030
"golubev.efimka-partizan","12527",1, 0.01030
"berggolc.pimokaty_s_altayskikh","27441",1, 0.01030
"globa.snegovoj_ded","905",1, 0.01030
"kolokolov.arsushka_izbyanoj","2061",1, 0.01030
"krapivin_vladislav.serebristoye_derevo_s_poyushchim_kotom","42921",1, 0.01030
"azhaev.daleko_ot_moskvy","190004",1, 0.01030
"shmelev.sluzhili_pravdy","26192",1, 0.01030
"pochepzov.dver_v_volshebnuiu_stranu","4586",1, 0.01030
"gladkov.cement","73215",1, 0.01030
"itskovich.musya_pinkenzon","2512",1, 0.01030
"tronina.kak_ponravitsya_tsarevne","34273",1, 0.01030
"davydychev.isemenov","17964",1, 0.01030
"aleksin_anatoli.ochen_strashnaia_istoria_staroi_dachi","29960",1, 0.01030
"krapivin_vladislav.pyat_skachkov_do_gorizonta","22404",1, 0.01030
"golicyn.za_berezovymi_knigami","46243",1, 0.01030
"krapivin_vladislav.choki_chok","61002",1, 0.01030
"gaydar.vsadniki_neprestupnykh","21770",1, 0.01030
"krymov.tanker_derbent","53566",1, 0.01030
"vigdorova.doroga","103796",1, 0.01030
"aleksin_anatoliy.moy_brat_igraet_na_klarnete","9706",1, 0.01030
"mikhasenko.s_aristotelem","57020",1, 0.01030
"furmanov.krasny_desant","7884",1, 0.01030
"vorobey.lekarstvo_ot_lyubvi","23475",1, 0.01030
"durov_v.pernatye_artisty","35675",1, 0.01030
"mogilevskaia_sofia.pro_mashenku_i_zubnuiu_schetku","1696",1, 0.01030
"goliavkin.tetradki","12477",1, 0.01030
"prishvin.lisichkin_hleb","329",1, 0.01030
"durov_v.zapiski_durovskoy_svini","15677",1, 0.01030
"gryaznov.loshad_kommunara","4199",1, 0.01030
"zamchalov_g.sadok","2770",1, 0.01030
"itsyn.podrostki","57808",1, 0.01030
"fraerman.sobolya","3696",1, 0.01030
"vorobey.begushiy_v_nochi","25974",1, 0.01030
"bobrov.letchik","21149",1, 0.01030
"zamyslovskaya.zverolovstvo_i_ohota","2152",1, 0.01030
"petrovic.konoplanocka","2358",1, 0.01030
"durov.velikiy_knyaz_konstantin_konstantinovich","257",1, 0.01030
"vilmont.sekret_malenkogo_otelya","41688",1, 0.01030
"durov.svistat_vy_mozhete_vsu_noch","222",1, 0.01030
"lukanskaa.lesnye_byli","5936",1, 0.01030
"lubenets.dnevnik_pervoy_lyubvi","19686",1, 0.01030
"sokolov-mikitov.sol_zemli","984",1, 0.01030
"bulychev.rzhavyj_feldmarshal","17585",1, 0.01030
"kuznetsova_n.delo_o_siney_ptitse","37393",1, 0.01030
"gravishkis.bolshoe_ispytanie_serezhki_merseneva","16568",1, 0.01030
"volyinskaya_kascheev.polnoch_v_muzee","44244",1, 0.01030
"sventickaa.fedina_kurochka_i_odin_lisenok","1507",1, 0.01030
"bianki.sinichkin_kalendar","1519",1, 0.01030
"gaydar.r_v_s","9822",1, 0.01030
"vilmont.v_poiskah_sokrovisch","39652",1, 0.01030
"belyh.belogvardeec","4102",1, 0.01030
"german.rasskazy_o_dzerzhinskom","49478",1, 0.01030
"kozevnikov.na_ulice","4654",1, 0.01030
"belyayev.zvezda_kets","42772",1, 0.01030
"turkin.malenkij_razbojnik","3509",1, 0.01030
"leshko.orlenok","1503",1, 0.01030
"annenkov.shturmanok_prokladyvaet_kurs","119581",1, 0.01030
"pokrovsky.ohotniki_na_mamontov","30788",1, 0.01030
"aleksin.dnevnik_zheniha","10869",1, 0.01030
"tolstoi_a.kot_vaska","169",1, 0.01030
"voronkova.sneg_idet","8178",1, 0.01030
"vasilenko_ivan.artemka_v_tsirke","14231",1, 0.01030
"murashova.odno_chudo_na_vsyu_zhizn","62664",1, 0.01030
"paustovskiy.sudba_sharlya_lonsevilya","12707",1, 0.01030
"zhitkov_b.pro_obezyanku","3222",1, 0.01030
"sotnikov.honorik_pobeditel_privideniy","64455",1, 0.01030
"remizov.ludi_zveri_vodyanye","489",1, 0.01030
"rozanov.prikluchenia_travki","29347",1, 0.01030
"belyayev.golova_professora_douelya","44503",1, 0.01030
"platonov.soldatskoye_serdtse","12626",1, 0.01030
"shcheglova.princ_iz_dalekoy_strany","22291",1, 0.01030
"kazantsev.lunnaya_doroga","40826",1, 0.01030
"perovskaya.rebyata_i_zveryata","44262",1, 0.01030
"artiushenko.shutka_s_pitonom","605",1, 0.01030
"bershadskaya.bolshaya_malenkaya_devochka_3_vyshel_zaychik_pogulyat","4842",1, 0.01030
"ivanov_ustinova.tayna_chyornogo_prizraka","32026",1, 0.01030
"zhvalevskiy_pasternak.moskvest","59751",1, 0.01030
"belyaev.vechny_khleb","16813",1, 0.01030
"akulshin.ozorstvo","445",1, 0.01030
"korablyov.pohischenie_na_dvoyku","41626",1, 0.01030
"nosov.telefon","1710",1, 0.01030
"shmelev.poslednij_vystrel","6564",1, 0.01030
"verkin.superboy_manyak_i_robot.maskaradnyiy_kostyum_svoimi_rukami","20896",1, 0.01030
"parhomov.horoshii_paren","29920",1, 0.01030
"panteleev.amerikanskaya_kasha","3490",1, 0.01030
"kolosov.bahmutskii_shlyah","127772",1, 0.01030
"zamchalov_g.kurinyy_razboynik","2435",1, 0.01030
"lubenets.fenechka_dlya_fioletovoy_fei","26614",1, 0.01030
"zamojsky.burnaya_noch","2213",1, 0.01030
"gusev.vrag_iz_proshlogo","33805",1, 0.01030
"druzhinina.chto_sluchilos_v_nashem_klasse","19621",1, 0.01030
"vorobey.vseriez_i_nadolgo","18695",1, 0.01030
"atarov.nachalnik_malykh_rek","13435",1, 0.01030
"bianki.lesnye-domishki","1337",1, 0.01030
"levitskij.za_morya","1325",1, 0.01030
"blinov.operatsiia_bremenskie_muzykanty","37490",1, 0.01030
"bogdanov.osinoe_gnezdo","28693",1, 0.01030
"suhinov_sergei.alhimik_parcelius","34990",1, 0.01030
"aleksin_anatoliy.pozdniy_rebenok","15968",1, 0.01030
"scheglova.zakryitaya_shkola_soprotivlenie","71955",1, 0.01030
"voinov.alyoshkina_shahta","3035",1, 0.01030
"kassil.vratar_respubliki","73131",1, 0.01030
"gusev.shpargalka_dlya_grabiteley","32152",1, 0.01030
"bogdanov.propavshiy_lager","20487",1, 0.01030
"kozlov.novogodnjaja_skazka","758",1, 0.01030
"vorobey.ya_ne_takaya","21897",1, 0.01030
"pankin.nachalo_odnoi_zhizni","52285",1, 0.01030
"efremov.almaznaya_truba","7946",1, 0.01030
"panteleev.chestnoe_slovo","1382",1, 0.01030
"tronina.luchshiy_paren_dlya_snegurochki","33963",1, 0.01030
"shaginian_marietta.povest_o_dvuh_sestrah","72168",1, 0.01030
"mamin_sibirak.lucsij_drug","2216",1, 0.01030
"strelkova.znakomoe_litso","23306",1, 0.01030
"litvinov.pervoe_rujye","17851",1, 0.01030
"matveev.pervaya_vesna","59735",1, 0.01030
"vorobiev_vladimir.kaprizka","20609",1, 0.01030
"grigorev.krasny_baken","19808",1, 0.01030
"kozlov.vozdushnyy_zamok","77604",1, 0.01030
"batrov.zavtra-okean","15254",1, 0.01030
"zhuravleva.golubaya_planeta","4475",1, 0.01030
"kuznetsova_n.delo_o_pohischennom_medaliste","43035",1, 0.01030
"zhestev.prikluchenia_malenkogo_traktorista","51825",1, 0.01030
"durov.svinya_kak_politicheskiy_impuls","805",1, 0.01030
"belyayev.chelovek-amfibiya","51391",1, 0.01030
"vasileva.po_prozvishchu_gumanoid","33910",1, 0.01030
"vilmont.u_straha_glaza_veliki","35791",1, 0.01030
"palman.krater_ershota","73766",1, 0.01030
"volodin.sinii_luch","29821",1, 0.01030
"golovachyova.podarok_nechistoy_sily","14632",1, 0.01030
"platonov.moroka","2060",1, 0.01030
"vereyskaya.tri_devochki","39106",1, 0.01030
"remizov.sudba","269",1, 0.01030
"vorobey.ya_nikomu_ne_nuzhna","17542",1, 0.01030
"zhuravleva.popravka_na_iks","4800",1, 0.01030
"kotovshchikova.kolia_i_pierochinnyi_nozhik","4476",1, 0.01030
"kaverin.dva_kapitana","198571",1, 0.01030
"polzikova-rubets.oni_uchilis_v_leningrade","39976",1, 0.01030
"heisin.kak_vasya_stal_kooperatorom","3266",1, 0.01030
"bazhov.kluc_zemli","1967",1, 0.01030
"teleshov.pokrovitel_mushei","415",1, 0.01030
"grigorev.pitomka_Leyla","26489",1, 0.01030
"platonov.nikita","2246",1, 0.01030
"prishvin.solovey","3984",1, 0.01030
"matveeva.daryu_tebe_velosiped","47797",1, 0.01030
"golovachyova.prozrachnyy_gost","15496",1, 0.01030
"nesterina.ugnannoe_pianino","29980",1, 0.01030
"krapivin_vladislav.samolet_po_imeni_serezhka","39753",1, 0.01030
"krapivin_vladislav.siniy_treugolnik","38727",1, 0.01030
"paustovskiy.kolhida","28910",1, 0.01030
"ivanov_ustinova.tayna_zelyonogo_bmv","37931",1, 0.01030
"ostroumov.makar_sledopyt","23871",1, 0.01030
"durov.karl_libkneht_vilgelm_i_kaska","532",1, 0.01030
"goryshin.lyubov_k_literature","5988",1, 0.01030
"dmitriev.v_poiskah-mamonta","81556",1, 0.01030
"nadezhdina.partizanka_lara","27182",1, 0.01030
"potapenko.anuta","5644",1, 0.01030
"voskresenskaya.sekret","1142",1, 0.01030
"murashev.sosulka","1341",1, 0.01030
"prokofieva.ostrov_kapitanov","28697",1, 0.01030
"gusev.sokrovischa_staroy_tserkvi","33627",1, 0.01030
"bondarenko_vladimir.vnuk_starogo_groma","2772",1, 0.01030
"altaev.zolotoj_malchik","12401",1, 0.01030
"pivovarova.o_chem_dumaet","35594",1, 0.01030
"minaev.rybaki","1327",1, 0.01030
"mogilevskaia_sofia.sem_raznotsvetnyh_skazok","1611",1, 0.01030
"dostian.trevoga","43240",1, 0.01030
"nosov.prikluchenia_neznaiki","33212",1, 0.01030
"miroshnichenko.yunarmiya","44236",1, 0.01030
"korolkov.lenya_golikov","3100",1, 0.01030
"uspenskii_eduard.ivan_carskij_syn","7044",1, 0.01030
"dmitriev_v.dzhunglyah_indii_zhizn_i_priklyucheniya_indusa_mukerdzhi","47314",1, 0.01030
"prishvin.pikovaya_dama","947",1, 0.01030
"bianki.vodjanoj_kon","492",1, 0.01030
"gaydar.na_grafskih_razvalinah","18560",1, 0.01030
"yakovlev.devochki_s_vasilievskogo_ostrova","1351",1, 0.01030
"bianki.sova","3014",1, 0.01030
"lopatina.kak_stepka_besprizornyj_stal_pionerom","5457",1, 0.01030
"usacheva.printsessa_na_belom_kone","26386",1, 0.01030
"lukyanskaya.lyzgushka_kvakushka","2474",1, 0.01030
"chaplina_valentina.o_malenkih_volshebnikah","15084",1, 0.01030
"aleksin_anatoli.pokoinik_ojivaet","15531",1, 0.01030
"suhinov_sergej.vechno_molodaja_stella","37165",1, 0.01030
"volyinskaya_kascheev.karamelka_dlya_vampira","37999",1, 0.01030
"krapivin.oruzhenosec_kashka","29551",1, 0.01030
"matveev.novy_sort","45929",1, 0.01030
"dorohov.novaa_zizn","6622",1, 0.01030
"akulshin.taet_taet","622",1, 0.01030
"ofin.derzhu_v_rukakh_ogon","17903",1, 0.01030
"beylina.kalitka_otvoris","21060",1, 0.01030
"remizov.eigelin","2126",1, 0.01030
"frolov_vadim.chto_k_chemu","52109",1, 0.01030
"platonov.kto_silnee","355",1, 0.01030
"akulshin.okhotniki","614",1, 0.01030
"belyaev_vladimir.gorod_u_morya","110661",1, 0.01030
"ohotnikov.istoriya_odnogo_vzryva","7336",1, 0.01030
"platonov.umnaya_vnuchka","1685",1, 0.01030
"suhinov_sergei.sekret_volshebnicy_villiny","37151",1, 0.01030
"krukova_tamara.hrustalnyi_kluch","61301",1, 0.01030
"prishvin.kak_zayats_sapogi_sel","1490",1, 0.01030
"belyaev.staraya_krepost","62808",1, 0.01030
"akulshin.neschastnye_vareniki","1138",1, 0.01030
"rozanov.alyuta_vozdushnyy_slonenok","21083",1, 0.01030
"sotnik_juriy.kak_menia_spasali","2257",1, 0.01030
"kozhevnikov.mart_aprel","5318",1, 0.01030
"venkstern.uznik-bastilii","7396",1, 0.01030
"bondin.moya_shkola","41400",1, 0.01030
"murashev.mramor","2576",1, 0.01030
"boljshincov.maljchik_s_narvskoj_zastavi","1790",1, 0.01030
"shmelev.stepnoe_chudo","3004",1, 0.01030
"skvorcov.zamecatelnye_rabotniki","15969",1, 0.01030
"bremener_maks.tolya_trilli","25654",1, 0.01030
"zamojskij.volkodav","491",1, 0.01030
"averin.brilliantyi_v_begah","32790",1, 0.01030
"karrik.vorona_i_rak","52",1, 0.01030
"ostrovskii.rozhdennye_burei","53596",1, 0.01030
"paustovskiy.isaak_levitan","5973",1, 0.01030
"karaev_uspenskii.60_parallel","214949",1, 0.01030
"atarov.zhar-ptitsa","6543",1, 0.01030
"grigoriev.malchii_bunt","33123",1, 0.01030
"venkstern.pobeg","9958",1, 0.01030
"krapivin.mushketer_i_feya","11993",1, 0.01030
"gorkij.devyatoe_janvara","6292",1, 0.01030
"davydychev.general_leytenant_samoylov_vozvrashchaetsya_v_detstvo","79125",1, 0.01030
"butkevich.sredi_gor_rasskazy_iz_chizni_narodov_zakavkazya","63003",1, 0.01030
"shmelev.svetlaya_stranitsa","12135",1, 0.01030
"lialenkov.znamenitaya_tankovaya","26580",1, 0.01030
"gryaznov.doloj_gnomov","3156",1, 0.01030
"krapivin_vladislav.pereulok_kapitana_lukhmanova","65289",1, 0.01030
"beliaev.kto_tebia_predal","55555",1, 0.01030
"demykina.tsvetnye_steklyshki","4245",1, 0.01030
"barseva.pyhtelka","231",1, 0.01030
"bulychev.puteshestvie_alisy","48258",1, 0.01030
"dzyuba.loshadinaya_kompaniya","32073",1, 0.01030
"zamchalov_g.sorvalas_s_kryuchka","8571",1, 0.01030
"sventickaa.chelovek_pod_snegom","284",1, 0.01030
"shalimov.taina_tuskarory","44509",1, 0.01030
"belyaev_vladimir.dom_s_privideniyami","59313",1, 0.01030
"abramova-kalitskaya.v_strany_dikarei","10115",1, 0.01030
"varfolomeeva.mashka_kak_simvol_very","14140",1, 0.01030
"usacheva.kontsert_dlya_chernogo_kolduna","35041",1, 0.01030
"gernet_yagdfeld.katya_i_krokodil","13552",1, 0.01030
"sotnikov.kto_pohitil_robinzona","35078",1, 0.01030
"ventsel.chizhik","968",1, 0.01030
"durov.o_gubernatore_sosnovskom_i_samoyedah","1952",1, 0.01030
"tushkan.drizia_i_vragi_anatolia_rusakova","142450",1, 0.01030
"vorobey.ognennye_bliznecy","21908",1, 0.01030
"tayc.kubik_na_kubik","342",1, 0.01030
"altov.legendy_o_zvezdnykh_kapitanakh","5159",1, 0.01030
"bonc_bruevic.pokusenie_na_lenina","6836",1, 0.01030
"orlov.potsielui_drakona","17488",1, 0.01030
"dudorov.istoriya_odnogo_gracha","6154",1, 0.01030
